"prix";"surface";"nb_pieces";"nb_chambres";"description";"transaction";"type_bien";"source";"ville";"code_postal"
"390000";"31.0";"2";"1";"Très bien situé, tout commerces au pied de l'immeuble : supermarchés, restaurants, banque, écoles et transports , à 4 min à pied de la station de métro ""Jussieu"" - Ligne 7 et de la ligne 10 -...";"ventes";"appartements";"Pap";"Paris";"75005"
"770000";"64.0";"2";"1";"**Très bel appartement traversant** situé au 5ᵉ et dernier étage d'un immeuble ancien parfaitement entretenu.  **Baigné de lumière**, il bénéficie d'une belle hauteur sous plafond de 3,80 m, offrant...";"ventes";"appartements";"Pap";"Paris";"75002"
"1090000";"107.4";"4";"3";"**Grand duplex de charme quartier Gobelins Jardin des Plantes**.  Idéalement situé entre le Jardin des Plantes et le quartier des Gobelins avec sa rue Mouffetard, dans un bon quartier agréable et...";"ventes";"appartements";"Pap";"Paris";"75005"
"630000";"60.0";"3";"1";"Appartement 3 pièces 60 m2, proche Place Franz Liszt et métro Poissonnière, Paris10eme.  Très bel appartement traversant de 60 m², situé au 1er étage avec ascenseur d’un immeuble bien entretenu.";"ventes";"appartements";"Pap";"Paris";"75010"
"425000";"30.0";"2";"1";"Appartement de 30 m² situé au rez-de-chaussée d’un immeuble de 3 étages.  Il se compose d’une entrée, d’un séjour lumineux exposé sud/ouest avec cuisine aménagée, d’une chambre et d’une salle de bain...";"ventes";"appartements";"Pap";"Paris";"75007"
"146000";"11.0";"1";"";"Studio 11 m² – Paris 15e – Proche École Militaire & Champ de Mars – Idéal investisseur ou pied-à-terre.  Localisation exceptionnelle, dans un quartier calme et central, ce studio est situé à...";"ventes";"appartements";"Pap";"Paris";"75015"
"845000";"70.0";"4";"2";"Appartement de charme de 70 m² (exposition sud-ouest), avec poutres apparentes, dans un bel immeuble ravalé, datant de la fin du 19ᵉ siècle, au 4ᵉ étage sans ascenseur sur 6 , idéalement situé dans...";"ventes";"appartements";"Pap";"Paris";"75003"
"695000";"63.0";"3";"2";"Paris 17, à la lisière de Neuilly-sur-Seine, au sein d’un immeuble semi récent, de bon standing, appartement de 3 pièces de 63 m2 loi carrez. Au 3ème étage par ascenseur, le plan comprend une entrée,...";"ventes";"appartements";"Pap";"Paris";"75017"
"199000";"19.0";"1";"";"Proche canal saint martin,métro colonel fabien premier étage sur jardin,calme. 19 m2 bien distribué sans perte de place.  Cuisinette séparée (frigo,plaque ) Salle d'eau avec branchement machine à...";"ventes";"appartements";"Pap";"Paris";"75010"
"530000";"72.4";"3";"2";"Très beau 3 pièces. Proche des métros Tolbiac et Olympiades. 72,4 m², **très clair et très calme, vue dégagée, étage élevé**. Entrée, séjour, cuisine, 2 chambres, salle de bains et wc séparés.";"ventes";"appartements";"Pap";"Paris";"75013"
"360000";"30.0";"1";"";"Idéal pour un étudiant ou un cadre comme pied à terre parisien.  Quartier Pernety, un secteur très agréable du 14ᵉ arrondissement, vivant et bien pourvu en commodités quotidiennes et loisirs. A...";"ventes";"appartements";"Pap";"Paris";"75014"
"1820000";"147.52";"5";"3";"Au cœur d’une voie privée et sécurisée ,dans un ancien hôtel particulier datant des années 1880,aux parties communes soignées, bénéficiant des services d’une gardienne, 3 ème étage sur 4 par ...";"ventes";"appartements";"Pap";"Paris";"75016"
"120000";"10.0";"1";"";"**Studio 10 m2 quartier saint Ferdinand, Paris 17ème.**, très proche Etoile et Champs Elysées.  En plein centre du quartier Saint Ferdinand, dans un bel immeuble haussmannien, une pièce de 10 m2...";"ventes";"appartements";"Pap";"Paris";"75017"
"465000";"43.0";"2";"1";"Découvrez cet appartement de 43 m², véritable joyau niché au 4ᵉ étage d'un magnifique immeuble haussmannien, dont la façade récemment ravalée illumine une rue calme et peu passante. Dès l'entrée, un...";"ventes";"appartements";"Pap";"Paris";"75012"
"449000";"45.25";"2";"1";"Paris 18e. **Vivez le Montmartre “carte postale” : toute  l'ambiance du quartier dans cet élégant appartement traversant de 45 m2 à 200 m du Sacré-Coeur avec vue sur parc.** De beaux volumes entre un...";"ventes";"appartements";"Pap";"Paris";"75018"
