type_transaction,type_bien,prix,surface,nb_pieces,ville,code_postal,description,source
location,Appartement,827,15,1,Paris,75001,,entreparticuliers
location,Maison,820,70,4,Trévérien,35190,,entreparticuliers
location,Appartement,1200,115,4,Challans,85300,,entreparticuliers
location,Appartement,1225,80,4,Moret-Loing-et-Orvanne,77250,,entreparticuliers
vente,Appartement,419000,91,4,Les Sables-d'Olonne,85100,,entreparticuliers
vente,Maison,360000,90,4,Cabourg,14390,,entreparticuliers
vente,Maison,470000,270,9,Mont-de-Marsan,40000,,entreparticuliers
vente,Appartement,473000,49,2,Paris,75001,,entreparticuliers
location,Appartement,735,23,1,Nantes,44000,,entreparticuliers
vente,Appartement,990,103,5,La Chapelle-Moutils,77320,,entreparticuliers
vente,Maison,359000,195,6,Plouégat-Guérand,29620,,entreparticuliers
location,Appartement,453,17,1,Bordeaux,33000,,entreparticuliers
location,Appartement,1390,45,3,Strasbourg,67000,,entreparticuliers
vente,Appartement,155000,77,3,Grenoble,38000,,entreparticuliers
location,Appartement,782,42,2,Nantes,44000,,entreparticuliers
vente,Appartement,339000,92,5,Chennevières-sur-Marne,94430,,entreparticuliers
location,Appartement,631,23,1,Lille,59000,,entreparticuliers
location,Appartement,880,39,2,Nice,06000,,entreparticuliers
location,Appartement,1580,42,2,Paris,75001,,entreparticuliers
location,Appartement,1330,31,1,Boulogne-Billancourt,92100,,entreparticuliers
vente,Appartement,1050,22,2,Vincennes,94300,,entreparticuliers
location,Appartement,775,50,2,Lille,59000,,entreparticuliers
vente,Appartement,155000,32,2,Pégomas,06580,,entreparticuliers
vente,Appartement,595000,113,4,Marseille,13001,,entreparticuliers
location,Appartement,1200,115,4,Challans,85300,,entreparticuliers
location,Appartement,1225,80,4,Moret-Loing-et-Orvanne,77250,,entreparticuliers
vente,Appartement,419000,91,4,Les Sables-d'Olonne,85100,,entreparticuliers
vente,Maison,360000,90,4,Cabourg,14390,,entreparticuliers
vente,Maison,470000,270,9,Mont-de-Marsan,40000,,entreparticuliers
vente,Appartement,473000,49,2,Paris,75001,,entreparticuliers
location,Appartement,735,23,1,Nantes,44000,,entreparticuliers
vente,Appartement,990,103,5,La Chapelle-Moutils,77320,,entreparticuliers
vente,Maison,359000,195,6,Plouégat-Guérand,29620,,entreparticuliers
location,Appartement,453,17,1,Bordeaux,33000,,entreparticuliers
location,Appartement,2000,51,3,Nice,06000,,entreparticuliers
location,Appartement,850,29,1,Massy,91300,,entreparticuliers
location,Appartement,595,20,1,Niort,79000,,entreparticuliers
location,Appartement,1300,84,3,Bondy,93140,,entreparticuliers
location,Appartement,650,65,2,Orcières,05170,,entreparticuliers
location,Appartement,930,57,3,Saint-Soupplets,77165,,entreparticuliers
location,Appartement,1500,56,2,Annecy,74000,,entreparticuliers
vente,Appartement,229500,82,4,Auzeville-Tolosane,31320,,entreparticuliers
vente,Appartement,399000,78,4,Rennes,35000,,entreparticuliers
vente,Appartement,267750,69,3,Guérande,44350,,entreparticuliers
location,Appartement,500,23,1,Lille,59000,,entreparticuliers
location,Appartement,1390,45,3,Strasbourg,67000,,entreparticuliers
vente,Appartement,155000,77,3,Grenoble,38000,,entreparticuliers
location,Appartement,782,42,2,Nantes,44000,,entreparticuliers
vente,Appartement,339000,92,5,Chennevières-sur-Marne,94430,,entreparticuliers
location,Appartement,631,23,1,Lille,59000,,entreparticuliers
location,Appartement,880,39,2,Nice,06000,,entreparticuliers
location,Appartement,1580,42,2,Paris,75001,,entreparticuliers
location,Appartement,1330,31,1,Boulogne-Billancourt,92100,,entreparticuliers
vente,Appartement,1050,22,2,Vincennes,94300,,entreparticuliers
location,Appartement,775,50,2,Lille,59000,,entreparticuliers
vente,Appartement,155000,32,2,Pégomas,06580,,entreparticuliers
vente,Appartement,595000,113,4,Marseille,13001,,entreparticuliers
location,Appartement,780,20,1,Puteaux,92800,,entreparticuliers
location,Appartement,950,48,1,Antibes,06160,,entreparticuliers
location,Appartement,1000,72,4,Rouen,76000,,entreparticuliers
location,Appartement,550,29,1,Ris-Orangis,91130,,entreparticuliers
location,Maison,470,80,3,Saint-Sardos,82600,,entreparticuliers
location,Appartement,850,44,2,Lagord,17140,,entreparticuliers
location,Appartement,725,54,3,Saint-Mamert-du-Gard,30730,,entreparticuliers
location,Appartement,930,55,3,Hyères,83400,,entreparticuliers
vente,Appartement,260000,33,2,Arcachon,33120,,entreparticuliers
location,Appartement,1400,80,4,Évry-Courcouronnes,91000,,entreparticuliers
vente,Appartement,648000,55,3,Paris,75001,,entreparticuliers
location,Appartement,795,63,4,Troyes,10000,,entreparticuliers
location,Appartement,550,46,3,Locminé,56500,,entreparticuliers
location,Appartement,750,14,1,Paris,75001,,entreparticuliers
location,Appartement,795,50,2,Cholet,49300,,entreparticuliers
location,Appartement,790,45,2,Canéjan,33610,,entreparticuliers
location,Appartement,680,39,3,Osthouse,67150,,entreparticuliers
location,Maison,1010,82,5,Épinal,88000,,entreparticuliers
location,Appartement,390,17,1,Cognac,16100,,entreparticuliers
location,Appartement,420,18,1,Béziers,34500,,entreparticuliers
location,Appartement,395,25,1,Poitiers,86000,,entreparticuliers
location,Appartement,440,36,1,Saint-Louis,68300,,entreparticuliers
location,Appartement,700,47,2,Le Mans,72000,,entreparticuliers
vente,Appartement,899,48,2,Mantes-la-Jolie,78200,,entreparticuliers
location,Appartement,560,18,1,Magny-en-Vexin,95420,,entreparticuliers
location,Appartement,1390,200,4,Tourcoing,59200,,entreparticuliers
location,Maison,760,80,3,Saint-Sauvant,17610,,entreparticuliers
location,Appartement,590,18,1,Toulouse,31000,,entreparticuliers
vente,Appartement,270000,73,3,Le Havre,76600,,entreparticuliers
vente,Appartement,245000,51,2,Montigny-le-Bretonneux,78180,,entreparticuliers
location,Appartement,450,17,1,Arcachon,33120,,entreparticuliers
vente,Appartement,299000,58,3,Lyon,69001,,entreparticuliers
location,Appartement,460,22,1,Vandœuvre-lès-Nancy,54500,,entreparticuliers
location,Appartement,660,70,3,Le Havre,76600,,entreparticuliers
vente,Appartement,225000,40,2,Divonne-les-Bains,01220,,entreparticuliers
vente,Appartement,186000,39,2,Avignon,84000,,entreparticuliers
location,Appartement,390,12,1,Roubaix,59100,,entreparticuliers
vente,Appartement,1479,80,4,Bezons,95870,,entreparticuliers
location,Appartement,750,18,1,Clichy,92110,,entreparticuliers
location,Appartement,850,53,3,Grenoble,38000,,entreparticuliers
location,Appartement,1925,59,2,Paris,75001,,entreparticuliers
location,Appartement,1450,61,3,Antony,92160,,entreparticuliers
location,Appartement,815,40,1,Tours,37000,,entreparticuliers
vente,Appartement,177320,72,3,Rennes,35000,,entreparticuliers
location,Appartement,619,64,3,Fontès,34320,,entreparticuliers
vente,Appartement,122700,52,2,Saran,45770,,entreparticuliers
location,Appartement,800,48,2,Angers,49000,,entreparticuliers
location,Appartement,480,16,1,Nantes,44000,,entreparticuliers
vente,Appartement,87500,31,2,Pontivy,56300,,entreparticuliers
location,Appartement,640,42,2,Metz,57000,,entreparticuliers
location,Appartement,840,51,2,Orléans,45000,,entreparticuliers
location,Appartement,735,44,2,Montpellier,34000,,entreparticuliers
location,Appartement,735,29,2,Nantes,44000,,entreparticuliers
location,Appartement,890,60,2,Nantes,44000,,entreparticuliers
location,Appartement,500,20,1,Vélizy-Villacoublay,78140,,entreparticuliers
location,Appartement,450,24,1,Poitiers,86000,,entreparticuliers
location,Appartement,1080,36,2,Nice,06000,,entreparticuliers
vente,Appartement,169000,45,2,Ramonville-Saint-Agne,31520,,entreparticuliers
vente,Appartement,134900,45,2,Metz,57000,,entreparticuliers
vente,Appartement,309000,32,1,La Turbie,06320,,entreparticuliers
location,Appartement,1220,65,3,Écully,69130,,entreparticuliers
location,Appartement,658,44,2,Angers,49000,,entreparticuliers
location,Appartement,580,24,1,Aix-en-Provence,13080,,entreparticuliers
location,Appartement,780,25,1,Gennevilliers,92230,,entreparticuliers
vente,Appartement,383000,60,3,Châtenay-Malabry,92290,,entreparticuliers
location,Appartement,500,52,3,Pont-Saint-Esprit,30130,,entreparticuliers
location,Appartement,990,100,4,Savigny-en-Revermont,71580,,entreparticuliers
vente,Appartement,590,28,2,Milly-la-Forêt,91490,,entreparticuliers
location,Appartement,850,27,1,Créteil,94000,,entreparticuliers
vente,Appartement,925000,84,3,Megève,74120,,entreparticuliers
vente,Maison,160000,65,3,Pont-de-l'Arche,27340,,entreparticuliers
location,Appartement,370,20,1,Châlons-en-Champagne,51000,,entreparticuliers
location,Appartement,1290,39,2,Boulogne-Billancourt,92100,,entreparticuliers
location,Appartement,465,35,1,Sauternes,33210,,entreparticuliers
vente,Appartement,197000,73,3,Beauchamp,95250,,entreparticuliers
vente,Appartement,222600,62,3,Auray,56400,,entreparticuliers
vente,Appartement,160000,32,2,Caen,14000,,entreparticuliers
vente,Appartement,750000,68,2,Paris,75001,,entreparticuliers
location,Appartement,600,24,2,Grand-Aigueblanche,73260,,entreparticuliers
location,Appartement,676,83,4,Clermont-Ferrand,63000,,entreparticuliers
location,Appartement,530,53,3,Mazamet,81200,,entreparticuliers
vente,Appartement,131000,72,4,Bourg-de-Péage,26300,,entreparticuliers
vente,Appartement,670,80,4,Grenoble,38000,,entreparticuliers
vente,Appartement,1000,29,1,Meudon,92190,,entreparticuliers
location,Appartement,750,15,1,Paris,75001,,entreparticuliers
vente,Appartement,125000,75,3,Grenoble,38000,,entreparticuliers
location,Appartement,400,11,1,Nancy,54000,,entreparticuliers
location,Appartement,660,49,2,Nantes,44000,,entreparticuliers
