type_transaction,type_bien,prix,surface,nb_pieces,nb_chambres,ville,code_postal,description,source
location,Maison,2890.0,108.0,6.0,4.0,Rueil-malmaison,92500,"En location non meublée, une maison 6 pièces de 108m2 habitables (177m2 utiles), à 15 min à pied du centre ville, et 5min à pied du lycée Richelieu et Daniélou. Secteurs scolaires Georges Sand, et...",pap
location,Maison,2357.0,139.0,5.0,3.0,Lyon,69006,"De particulier à particulier Lyon 06 Maison de ville T5 de 139 m² habitable sur un terrain de 227 m²  Nous vous proposons un loft atypique de très bonne prestation, climatisée, calme, orientée...",pap
location,Maison,2250.0,193.0,8.0,4.0,Fegersheim,67640,"193 m2 habitable, construit 2010, terrain 8500 m2, bord forêt protégée, dans impasse. Façade jardin Exposition Sud, très calme. Proximité autoroutes, proximité écoles, 4 chambres avec 4 salles de...",pap
location,Maison,2000.0,140.0,5.0,4.0,Bartenheim,68870,"Maison des années 60 entièrement rénovée et modernisée aux goûts actuels (portes en verre design). Isolation intérieure, façade exposée Nord isolé de l'extérieur, combles isolés. Ravalement de façade...",pap
location,Maison,2000.0,120.0,5.0,4.0,Vélizy-villacoublay,78140,"Maison familiale meublée — Vélizy-Villacoublay (78) 120 m² | 5 chambres | Jardin | 2000€/mois   Libre le 19 mai 2026  Lumineuse, spacieuse et rénovée, cette maison de 120 m² implantée dans le...",pap
location,Maison,1950.0,60.0,3.0,2.0,Verrieres-le-buisson,91370,"Rare à la location – **Maison indépendante avec jardin et terrasse plein sud, au calme.** Édifiée sur un terrain arboré d'environ 520 m², cette maison développe environ 120 m² de surface utile (60 m²...",pap
location,Maison,1800.0,41.0,2.0,1.0,Chelles,77500,"Superhost – Votre havre de confort entre Paris et Disneyland  Disponible dès le 8 août, bail mobilité 1 à 10 mois, loyer 1 800 € / mois, charges EDF et eau incluses.  Un cocon de 41 m² alliant...",pap
location,Maison,1795.0,80.0,4.0,3.0,Drancy,93700,"Quartier pavillonnaire avec écoles. La Mare. Bail  en  meublé Maison mitoyenne 80 m2 : cuisine américaine-salon/salle à manger et wc, 3 chambres à l'étage, salle de bains et  1  wc. Grenier.",pap
location,Maison,1719.0,118.0,5.0,,Saran,45770,"Maison Saran 6 pièce(s) 118.04 m2. A louer très belle maison ancienne entièrement rénové avec goût et matériaux de qualités dans un environnement calme et vue dégagée de 142m² au sol comprenant au rez de chaussée : entrée, salon séjour, cusine indépendante aménagée et équipée et une chambre avec cheminée décorative Au premier étage deux chambres, un bureau et une salle d'eau Au 2ème étage une chambre avec salle de bains ouverte Terrasse plein sud, jardin arboré, cave et garage",orpi
location,Maison,1645.0,100.0,5.0,3.0,Nozay,91620,"Maison individuelle avec jardin aménagé, Maison Kaufman & Broad, état neuve, 100 m² habitables (120 m² utiles), 3 chambres dans un quartier résidentiel recherché, proche de tous commerces à pied,...",pap
location,Maison,1614.0,132.0,6.0,,Joué,37300,"Maison À Louer. Au rez-de-chaussée : une entrée, une cuisine aménagée et équipée indépendante, un salon-séjour, une salle de bains, un wc et deux chambres.",orpi
location,Maison,1600.0,89.0,4.0,3.0,Talence,33400,"Maison 89 m2 sur terrain 35 m2 avec garage 50 m2, terrasse avec pergola et salon de jardin, barbecue. Proximité campus, lycée, collège, école.  Bois de Thouars. Accès immédiat à la rocade.",pap
location,Maison,1585.0,135.0,5.0,4.0,Reims,51100,"REIMS, quartier CERNAY-POMMERY, Recherché pour sa tranquilité, sa qualité de vie, ses commerces et marchés des mardi et dimanche matin. A 5min du centre ville, 10-15 min des gares Centre Ville et...",pap
location,Maison,1550.0,118.0,5.0,4.0,Crépy-en-valois,60800,"À Crépy-en-Valois, à deux pas de la gare et des commerces, dans un quartier résidentiel recherché, calme, venez découvrir cette maison lumineuse et récente de 2018, **tout confort**.  Elle offre : -...",pap
location,Maison,1550.0,80.4,4.0,3.0,Herblay,95220,"--- Description : Idéalement située dans le quartier de l'Alouette à Herblay-sur-Seine (à 5 min à pied des bords de Seine), cette maison individuelle de 2015 offre 80,4 m² habitables sur un terrain...",pap
location,Maison,1550.0,70.0,3.0,2.0,Bar-sur-loup,6620,"Maison individuelle de 70 m² Gîte de France 3 épis, entièrement rénovée, clôturée, meublée et équipée, disponible pour de courtes périodes, au mois ou à la semaine en meublé touristique.  Sur même...",pap
location,Maison,1500.0,105.0,5.0,3.0,Tampon,97430,"Je loue cette belle maison de 105m² construite en 2013, située dans un lotissement de standing implanté dans un environnement calme Cette maison de 2 étages comprend 5 pièces, plus une pièce...",pap
location,Maison,1495.0,92.0,4.0,3.0,Draguignan,83300,"Dans un domaine sécurisé, résidentiel et calme à proximité de toutes commodités, commerces, école, centre ville, lycée, villa jumelée par un seul côté, sans vis à vis, vue exceptionnelle entièrement...",pap
location,Maison,1480.0,129.0,6.0,5.0,Lauzerville,31650,"Loue maison récente (2010) Lauzerville 5 chambres, très grand sous-sol, vue dégagée environnement très calme dans quartier huppé. Cuisine équipée grande pièce de vie ; salle de bains avec douche et...",pap
location,Maison,1430.0,170.0,6.0,5.0,Autruy-sur-juine,45480,"Magnifique Maison de Caractère –  Grand Volume  À louer, superbe demeure  avec 4 étages de 160m² alliant le charme de l'ancien  et un confort moderne haut de gamme. Idéale pour une grande famille ...",pap
