"transaction";"type_bien";"prix";"surface";"nb_pieces";"nb_chambres";"ville";"code_postal";"description";"source"
"ventes";"appartements";"610000";"65.0";"3";"2";"Paris";"75010";"3 pièces de 65 m², au 154 rue La Fayette  au croisement entre le rue La Fayette et la rue du Faubourg St-Denis,  2 min du métro Gare du Nord.  - 5eme étage avec ascenseur, appartement très lumineux...";"pap"
"ventes";"appartements";"532000";"65.0";"3";"2";"Paris";"75013";"Paris 13 ème – Quartier Jeanne d'Arc.  Dans une résidence des années 1960 bien entretenue de 8 étages, nous proposons un appartement calme, sécurisée, conviviale, accessible aux personnes à mobilité...";"pap"
"ventes";"appartements";"128000";"9.31";"1";"1";"Paris";"75005";"Chambre Métro Maubert-Mutualité.  Au 6ᵉ étage d'un immeuble pierre de taille avec ascenseur. Logement refait neuf avec pièce principale, Cuisine américaine équipée. Douche, meuble, vasque, toilette.";"pap"
"ventes";"appartements";"330000";"28.0";"2";"1";"Paris";"75018";"Appartement 2 pièces – Paris 18e – 28 m² – 335 000 €. Idéal investisseur – Rénové en 2023 – Loué meublé 1 500 €/mois.  À 9 minutes à pied du Sacré-Cœur et des salles de concert emblématiques (Élysée...";"pap"
"ventes";"appartements";"850000";"72.0";"4";"2";"Paris";"75019";"À l'abri de l'agitation urbaine, ce superbe duplex de 72m2 carrez se vit comme une maison en ville, nichée au calme d'une copropriété confidentielle, avec accès indépendant et terrasse privative de...";"pap"
"ventes";"appartements";"1100000";"62.0";"3";"2";"Paris";"75006";"Situé au sein d'un bel immeuble ancien, au 4ᵉ étage avec ascenseur, ce bien a une superficie de 62 m² loi Carrez comprenant : - Une entrée avec des rangements, - Un séjour/salle à manger, - Une...";"pap"
"ventes";"appartements";"1730000";"151.0";"6";"4";"Paris";"75002";"**Superbe appartement**  6 pièces 151m²/ **Paris 2ème Vivienne-Ggaillon**  **Achat direct propriétaire** :  **professionnels de l'immobilier** : **pas de démarchage**! **Merci.**  **Proche de la...";"pap"
"ventes";"appartements";"690000";"61.0";"3";"2";"Paris";"75019";"**Loft 61 m² + jardin 56 m² : comme une maison et sans vis-à-vis**  À 200 m du Canal Saint-Martin, loft traversant de 61 m² avec 56 m² d’extérieurs (jardin arboré + courette), au sein d’un immeuble...";"pap"
"ventes";"appartements";"695000";"93.0";"5";"4";"Paris";"75010";"Spécial investisseur Possibilité de créér une  colocation de 5 chambres et deux sdb sans toucher aux murs porteurs ou bien un studio independant et un appartement de 2 chambres ou bien un appartement...";"pap"
"ventes";"appartements";"499000";"41.0";"2";"1";"Paris";"75017";"Appartement 2 pièces de standing – Rue de Chazelles.  Découvrez cet appartement de 2 pièces situé au 6ème étage (avec deux ascenseurs modernes) d'un bel immeuble de standing avec gardien. Rénové en...";"pap"
"ventes";"appartements";"620000";"69.0";"3";"2";"Paris";"75017";"Appartement ancien, récemment refait à neuf, calme et lumineux, dans une copropriété très bien entretenue. Le plan de l'appartement permet d'offrir de grandes pièces, sans aucune perte de place : -...";"pap"
"ventes";"appartements";"610000";"74.0";"4";"2";"Paris";"75018";"Appartement de 74 m² dans le 18ᵉ arrondissement de Paris, dans le quartier de Château Rouge. Cet appartement est très lumineux. Il dispose d'une triple exposition. En plein cœur du 18ᵉ arrondissement...";"pap"
"ventes";"appartements";"290000";"27.17";"1";"1";"Paris";"75012";"Élégant studio de 27,17 m² (loi Carrez), prolongé par un grand balcon de 4,65 m² exposé ouest, situé au 6ᵉ étage d'un immeuble de standing construit en 1974.  Pièce de vie lumineuse avec parquet,...";"pap"
"ventes";"appartements";"470000";"47.8";"3";"2";"Paris";"75013";"Situé dans un quartier recherché Campo Formio, proximité directe des transports (lignes métro 5, 7, 6, 14) et commerces, crèche (dans la rue), écoles du 5ᵉ arrondissement et universités, accès facile...";"pap"
"ventes";"appartements";"765000";"58.0";"3";"2";"Paris";"75009";"----   Sous Offre ------ Appartement de 58m2 au 3ème étage avec ascenseur et balcon, bénéficiant d'une luminosité exceptionnelle avec sa triple exposition Est/Sud/Ouest.  Il comprend une entrée, un...";"pap"
"ventes";"appartements";"275000";"28.0";"2";"1";"Paris";"75018";"Appartement comprenant chambre, séjour cuisine, salle de bain avec wc, **entièrement refait en 2016 avec isolation intérieure**, 2ème étage sans ascenseur, tout près métro Marx Dormoy. Charges...";"pap"
"ventes";"appartements";"275000";"32.5";"1";"";"Paris";"75020";"Situé au 8ème et dernier étage avec ascenseur, ce studio entièrement rénové de 32,5 m² vous séduira par sa luminosité et son agencement optimisé. La pièce de vie accueille une zone nuit avec lit...";"pap"
"ventes";"appartements";"890000";"105.0";"5";"4";"Paris";"75020";"**Appartement familial de 105m²**, offrant de beaux volumes. Situé au **5ᵉ étage avec ascenseur**, ce bien lumineux et **traversant**, doté de **larges baies vitrées**, bénéficie d’une **exposition...";"pap"
"ventes";"appartements";"815000";"73.0";"3";"2";"Paris";"75011";"**Sous offre**  À deux pas du très recherché Village Faidherbe, appartement de 3/4 pièces d’une surface habitable de 73m2, occupant tout le 4eme étage d’un immeuble de 6 étages en pierre de taille...";"pap"
"ventes";"appartements";"439000";"41.0";"2";"1";"Paris";"75011";"Situé au cœur du très recherché quartier Léon-Blum / Folie-Regnault, dans le 11º arrondissement de Paris, ce bel appartement de 41 m2 se trouve au premier étage sur rue (calme à sens unique) d'un...";"pap"
"ventes";"appartements";"420000";"32.0";"2";"1";"Paris";"75017";"Appartement 2 pièces très clair, quartier des Ternes, nombreux commerces, proche écoles. Ascenseur et tapis dans les escaliers, cave. Cuisine équipée, salle de bain avec toilette. Chauffage...";"pap"
"ventes";"appartements";"320000";"36.0";"2";"1";"Paris";"75018";"Paris 18ème – 2 pièces 36 m² au calme. Dans un quartier vivant et recherché du 18ème arrondissement, à proximité des commerces et des transports.  Appartement situé en fond de cour au 2ème étage sans...";"pap"
"ventes";"appartements";"463500";"52.81";"3";"2";"Paris";"75013";"“Paris – Parc Montsouris – 3 pièces 53 m² très lumineux Est/Ouest – cave ”  À seulement une rue du Parc Montsouris, dans un quartier très recherché pour sa qualité de vie, découvrez ce charmant...";"pap"
"ventes";"appartements";"1145000";"98.8";"4";"2";"Paris";"75012";"**Paris 12e Succession :  Appartement Traversant Surfaces Totales Confondues Exploitable = 215,80 m2 **:  1er étage en Rez-de-Jardin Traversant : - Belle terrasse privative exposant Nord (17,6 m2) -...";"pap"
"ventes";"appartements";"926000";"85.09";"5";"3";"Paris";"75010";"Appartement traversant de 4/5 pièces à la limite du 3e arrondissement, donnant sur la rue de Lancry et sur une cour végétalisée. Rénové en 2019, l'appartement de 85,09 m² en loi Carrez (87,18 m² au...";"pap"
"ventes";"appartements";"539000";"54.0";"3";"2";"Paris";"75013";"**À proximité immédiate de la place Jeanne d'Arc et du métro Olympiades (ligne 14), ce 3 pièces traversant de 53,18 m² Carrez offre un cadre de vie lumineux, calme et recherché au cœur du 13ᵉ...";"pap"
