"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 10E (75010)";"610000";"65";"3";"2";"3 pièces de 65 m², au 154 rue La Fayette  au croisement entre le rue La Fayette et la rue du Faubourg St-Denis,  2 min du métro Gare du Nord.  - 5eme étage avec ascenseur, appartement très lumineux..."
"ventes-appartements";"Paris 13E (75013)";"532000";"65";"3";"2";"Paris 13 ème – Quartier Jeanne d'Arc.  Dans une résidence des années 1960 bien entretenue de 8 étages, nous proposons un appartement calme, sécurisée, conviviale, accessible aux personnes à mobilité..."
"ventes-appartements";"Paris 5E (75005)";"128000";"9.31";"1";"1";"Chambre Métro Maubert-Mutualité.  Au 6ᵉ étage d'un immeuble pierre de taille avec ascenseur. Logement refait neuf avec pièce principale, Cuisine américaine équipée. Douche, meuble, vasque, toilette."
"ventes-appartements";"Paris 18E (75018)";"330000";"28";"2";"1";"Appartement 2 pièces – Paris 18e – 28 m² – 335 000 €. Idéal investisseur – Rénové en 2023 – Loué meublé 1 500 €/mois.  À 9 minutes à pied du Sacré-Cœur et des salles de concert emblématiques (Élysée..."
"ventes-appartements";"Paris 19E (75019)";"850000";"72";"4";"2";"À l'abri de l'agitation urbaine, ce superbe duplex de 72m2 carrez se vit comme une maison en ville, nichée au calme d'une copropriété confidentielle, avec accès indépendant et terrasse privative de..."
"ventes-appartements";"Paris 6E (75006)";"1100000";"62";"3";"2";"Situé au sein d'un bel immeuble ancien, au 4ᵉ étage avec ascenseur, ce bien a une superficie de 62 m² loi Carrez comprenant : - Une entrée avec des rangements, - Un séjour/salle à manger, - Une..."
"ventes-appartements";"Paris 2E (75002)";"1730000";"151";"6";"4";"**Superbe appartement**  6 pièces 151m²/ **Paris 2ème Vivienne-Ggaillon**  **Achat direct propriétaire** :  **professionnels de l'immobilier** : **pas de démarchage**! **Merci.**  **Proche de la..."
"ventes-appartements";"Paris 19E (75019)";"690000";"61";"3";"2";"**Loft 61 m² + jardin 56 m² : comme une maison et sans vis-à-vis**  À 200 m du Canal Saint-Martin, loft traversant de 61 m² avec 56 m² d’extérieurs (jardin arboré + courette), au sein d’un immeuble..."
"ventes-appartements";"Paris 10E (75010)";"695000";"93";"5";"4";"Spécial investisseur Possibilité de créér une  colocation de 5 chambres et deux sdb sans toucher aux murs porteurs ou bien un studio independant et un appartement de 2 chambres ou bien un appartement..."
"ventes-appartements";"Paris 17E (75017)";"499000";"41";"2";"1";"Appartement 2 pièces de standing – Rue de Chazelles.  Découvrez cet appartement de 2 pièces situé au 6ème étage (avec deux ascenseurs modernes) d'un bel immeuble de standing avec gardien. Rénové en..."
