"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 5E (75005)";"390000";"31";"2";"1";"Très bien situé, tout commerces au pied de l'immeuble : supermarchés, restaurants, banque, écoles et transports , à 4 min à pied de la station de métro ""Jussieu"" - Ligne 7 et de la ligne 10 -..."
"ventes-appartements";"Paris 2E (75002)";"770000";"64";"2";"1";"**Très bel appartement traversant** situé au 5ᵉ et dernier étage d'un immeuble ancien parfaitement entretenu.  **Baigné de lumière**, il bénéficie d'une belle hauteur sous plafond de 3,80 m, offrant..."
"ventes-appartements";"Paris 5E (75005)";"1090000";"107.40";"4";"3";"**Grand duplex de charme quartier Gobelins Jardin des Plantes**.  Idéalement situé entre le Jardin des Plantes et le quartier des Gobelins avec sa rue Mouffetard, dans un bon quartier agréable et..."
"ventes-appartements";"Paris 10E (75010)";"630000";"60";"3";"1";"Appartement 3 pièces 60 m2, proche Place Franz Liszt et métro Poissonnière, Paris10eme.  Très bel appartement traversant de 60 m², situé au 1er étage avec ascenseur d’un immeuble bien entretenu."
"ventes-appartements";"Paris 7E (75007)";"425000";"30";"2";"1";"Appartement de 30 m² situé au rez-de-chaussée d’un immeuble de 3 étages.  Il se compose d’une entrée, d’un séjour lumineux exposé sud/ouest avec cuisine aménagée, d’une chambre et d’une salle de bain..."
"ventes-appartements";"Paris 15E (75015)";"146000";"11";"1";"";"Studio 11 m² – Paris 15e – Proche École Militaire & Champ de Mars – Idéal investisseur ou pied-à-terre.  Localisation exceptionnelle, dans un quartier calme et central, ce studio est situé à..."
"ventes-appartements";"Paris 3E (75003)";"845000";"70";"4";"2";"Appartement de charme de 70 m² (exposition sud-ouest), avec poutres apparentes, dans un bel immeuble ravalé, datant de la fin du 19ᵉ siècle, au 4ᵉ étage sans ascenseur sur 6 , idéalement situé dans..."
"ventes-appartements";"Paris 17E (75017)";"695000";"63";"3";"2";"Paris 17, à la lisière de Neuilly-sur-Seine, au sein d’un immeuble semi récent, de bon standing, appartement de 3 pièces de 63 m2 loi carrez. Au 3ème étage par ascenseur, le plan comprend une entrée,..."
"ventes-appartements";"Paris 10E (75010)";"199000";"19";"1";"";"Proche canal saint martin,métro colonel fabien premier étage sur jardin,calme. 19 m2 bien distribué sans perte de place.  Cuisinette séparée (frigo,plaque ) Salle d'eau avec branchement machine à..."
"ventes-appartements";"Paris 13E (75013)";"530000";"72.40";"3";"2";"Très beau 3 pièces. Proche des métros Tolbiac et Olympiades. 72,4 m², **très clair et très calme, vue dégagée, étage élevé**. Entrée, séjour, cuisine, 2 chambres, salle de bains et wc séparés."
