ville,code_postal,departement,type_bien,type_transaction,source,surface,prix,nb_pieces,nb_chambres,prix_m2,prix_m2_predit,ecart_pct,score_marche
Saint-cloud,92210,92,Maison,vente,pap,170.0,1460000.0,3.0,5.0,8588.24,6314.31,36.01,Sur-evalue
Grimaud,83310,83,Maison,vente,pap,215.0,1390000.0,6.0,5.0,6465.12,3394.41,90.46,Sur-evalue
Hyères,83400,83,Maison,vente,orpi,165.0,1390000.0,9.0,1.0,8424.24,2564.03,228.55,Sur-evalue
Garches,92380,92,Maison,vente,pap,150.0,1090000.0,3.0,4.0,7266.67,6402.06,13.51,Prix marche
Courbevoie,92400,92,Maison,vente,pap,120.0,949000.0,3.0,3.0,7908.33,6402.06,23.53,Sur-evalue
Garches,92380,92,Maison,vente,pap,150.0,940000.0,3.0,4.0,6266.67,6402.06,-2.11,Prix marche
Rueil-malmaison,92500,92,Maison,vente,pap,151.0,842900.0,3.0,5.0,5582.12,6402.06,-12.81,Prix marche
Arzon,56640,56,Maison,vente,orpi,100.0,819500.0,5.0,1.0,8195.0,2992.78,173.83,Sur-evalue
Antony,92160,92,Maison,vente,pap,183.0,810000.0,3.0,4.0,4426.23,6314.31,-29.9,Sous-evalue
Neuilly-plaisance,93360,93,Maison,vente,pap,128.0,756900.0,3.0,3.0,5913.28,3923.88,50.7,Sur-evalue
Saint-pierre,97400,97,Maison,vente,pap,153.0,755000.0,6.0,4.0,4934.64,3482.16,41.71,Sur-evalue
Maisons-alfort,94700,94,Maison,vente,pap,103.0,730900.0,3.0,4.0,7096.12,4550.6,55.94,Sur-evalue
Neuilly-plaisance,93360,93,Maison,vente,pap,170.0,720000.0,3.0,5.0,4235.29,3836.13,10.41,Prix marche
Bons,74890,74,Maison,vente,orpi,204.0,719000.0,8.0,1.0,3524.51,3160.71,11.51,Prix marche
Plessis-robinson,92350,92,Maison,vente,pap,90.0,703900.0,3.0,4.0,7821.11,6446.93,21.32,Sur-evalue
Haÿ-les-roses,94240,94,Maison,vente,pap,158.0,599999.0,3.0,5.0,3797.46,4462.85,-14.91,Prix marche
Toulon,83200,83,Maison,vente,pap,156.0,595000.0,6.0,5.0,3814.1,3394.41,12.36,Prix marche
Maisons-alfort,94700,94,Maison,vente,pap,100.0,590000.0,3.0,3.0,5900.0,4720.32,24.99,Sur-evalue
Revest-les-eaux,83200,83,Maison,vente,pap,182.0,577000.0,6.0,4.0,3170.33,3394.41,-6.6,Prix marche
Tampon,97430,97,Maison,vente,pap,200.0,540000.0,6.0,3.0,2700.0,3394.41,-20.46,Sous-evalue
Villejuif,94800,94,Maison,vente,pap,132.0,539126.0,3.0,5.0,4084.29,4550.6,-10.25,Prix marche
Groslay,95410,95,Maison,vente,pap,179.0,539000.0,6.0,4.0,3011.17,3394.41,-11.29,Prix marche
Palaiseau,91120,91,Maison,vente,pap,107.0,535000.0,4.0,3.0,5000.0,3966.63,26.05,Sur-evalue
Châtenay-malabry,92290,92,Maison,vente,pap,101.0,476900.0,3.0,3.0,4721.78,6446.93,-26.76,Sous-evalue
